GROUND -42 3006
GROUND 56 3006
GROUND 154 3006
GROUND 252 3006
GROUND 350 3006
ROCKPLATFORM -50 2942 0
ROCKPLATFORM 338 2942 0
GRASSPLATFORM 220 2878 0
GRASSPLATFORM 182 2878 1
GRASSPLATFORM 144 2878 0
GRASSPLATFORM 106 2878 1
SMALLROCKPLATFORM 178 2814 0
GRASSPLATFORM 220 2744 1
GRASSPLATFORM 182 2744 0
GRASSPLATFORM 144 2744 1
GRASSPLATFORM 106 2744 0
SMALLROCKPLATFORM 106 2680 1
SMALLROCKPLATFORM 250 2680 0
SMALLROCKPLATFORM 106 2616 1
SMALLROCKPLATFORM 178 2616 0
SMALLROCKPLATFORM 250 2616 1
SMALLROCKPLATFORM 178 2552 0
ROCKPLATFORM 64 2488 1
SMALLROCKPLATFORM 18 2424 1
SMALLROCKPLATFORM 18 2360 0
SMALLROCKPLATFORM 18 2296 1
SMALLROCKPLATFORM 90 2296 0
SMALLROCKPLATFORM 162 2296 1
SMALLROCKPLATFORM 162 2232 0
SMALLROCKPLATFORM 162 2168 1
SMALLROCKPLATFORM 234 2104 0
SMALLROCKPLATFORM 338 2040 1
SMALLROCKPLATFORM 18 2040 0
SMALLROCKPLATFORM 50 1976 1
SMALLROCKPLATFORM 50 1912 0
SMALLROCKPLATFORM 122 1912 1
SMALLROCKPLATFORM 194 1912 0
SMALLROCKPLATFORM 194 1848 1
SMALLROCKPLATFORM 266 1784 0
SMALLROCKPLATFORM 266 1720 1
SMALLROCKPLATFORM 338 1656 0
SMALLROCKPLATFORM 266 1592 1
SMALLROCKPLATFORM 266 1512 0
SMALLROCKPLATFORM 266 1472 1
SMALLROCKPLATFORM 266 1392 0
GRASSPLATFORM 220 1322 0
GRASSPLATFORM 182 1322 1
GRASSPLATFORM 144 1322 0
GRASSPLATFORM 106 1322 1
SMALLROCKPLATFORM 18 1258 1
SMALLROCKPLATFORM 90 1194 0
SMALLROCKPLATFORM 90 1114 1
SMALLROCKPLATFORM 90 1074 0
SMALLROCKPLATFORM 90 994 1
GRASSPLATFORM 144 924 0
GRASSPLATFORM 182 924 1
SMALLROCKPLATFORM 178 860 0
SMALLROCKPLATFORM 178 780 1
SMALLROCKPLATFORM 178 740 0
SMALLROCKPLATFORM 178 660 1
ROCKPLATFORM -32 608 0
ROCKPLATFORM 320 556 1
SMALLROCKPLATFORM 178 504 0
ROCKPLATFORM 320 452 0
ROCKPLATFORM -32 400 1
SMALLROCKPLATFORM 178 348 1
ROCKPLATFORM -32 296 0
SMALLROCKPLATFORM 178 244 0
ROCKPLATFORM 320 192 1
ROCKPLATFORM -32 140 0
SMALLROCKPLATFORM 178 88 1
#
PLAYER 162 2932 0
#
PORTAL 162 84 2
PORTAL 162 3002 0
